,accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro
SVM-RBF,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613,0.9665831244778612
RandomForest,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613,0.9665831244778612
LogReg,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333332
